,source,target,values
12344,Anouk JORDAN,Boris CHABANEL,6.0
12345,Anouk JORDAN,Catherine DEBRAND,4.0
12346,Anouk JORDAN,Emile HOOGE,4.0
12347,Anouk JORDAN,Cédric POLÈRE,6.0
12348,Anouk JORDAN,Ludovic VIÉVARD,7.0
12349,Anouk JORDAN,Eve DENJEAN,4.0
12357,Anouk JORDAN,Julie JEAMMAUD,7.0
12360,Anouk JORDAN,Caroline JANUEL,7.0
12365,Anouk JORDAN,Sylvie  MAURIS-DEMOURIOUX,12.0
12462,Anouk JORDAN,Pierre GROSDEMOUGE,2.0
12724,Anouk JORDAN,Anne FORNEROD,2.0
12903,Sylvie  MAURIS-DEMOURIOUX,Anne-Caroline JAMBAUD,5.0
12905,Sylvie  MAURIS-DEMOURIOUX,Boris CHABANEL,4.0
12906,Sylvie  MAURIS-DEMOURIOUX,Catherine DEBRAND,8.0
12907,Sylvie  MAURIS-DEMOURIOUX,Emile HOOGE,8.0
12908,Sylvie  MAURIS-DEMOURIOUX,Cédric POLÈRE,18.0
12909,Sylvie  MAURIS-DEMOURIOUX,Ludovic VIÉVARD,27.0
12910,Sylvie  MAURIS-DEMOURIOUX,Eve DENJEAN,7.0
12918,Sylvie  MAURIS-DEMOURIOUX,Julie JEAMMAUD,7.0
12921,Sylvie  MAURIS-DEMOURIOUX,Caroline JANUEL,7.0
12922,Sylvie  MAURIS-DEMOURIOUX,Marianne CHOUTEAU,17.0
12924,Sylvie  MAURIS-DEMOURIOUX,Nicolas LEPRÊTRE,6.0
12925,Sylvie  MAURIS-DEMOURIOUX,Anouk JORDAN,12.0
12927,Sylvie  MAURIS-DEMOURIOUX,Julien CASALS,5.0
12936,Sylvie  MAURIS-DEMOURIOUX,Catherine FORET,17.0
12952,Sylvie  MAURIS-DEMOURIOUX,Jean-Loup MOLIN,5.0
12963,Sylvie  MAURIS-DEMOURIOUX,Margot BALDASSI,5.0
12965,Sylvie  MAURIS-DEMOURIOUX,Matthieu BOURY,1.0
12967,Sylvie  MAURIS-DEMOURIOUX,Quentin ZARAGORI,5.0
12969,Sylvie  MAURIS-DEMOURIOUX,Pierre-Alain FOUR,20.0
12972,Sylvie  MAURIS-DEMOURIOUX,Valérie DEFOY,17.0
12992,Sylvie  MAURIS-DEMOURIOUX,Sophie KELLER,1.0
13014,Sylvie  MAURIS-DEMOURIOUX,Christine OLM,1.0
13023,Sylvie  MAURIS-DEMOURIOUX,Pierre GROSDEMOUGE,1.0
13041,Sylvie  MAURIS-DEMOURIOUX,Stéphane AUTRAN,1.0
13270,Sylvie  MAURIS-DEMOURIOUX,Kim SAKHO,5.0
13285,Sylvie  MAURIS-DEMOURIOUX,Anne FORNEROD,2.0
13464,Julien CASALS,Anne-Caroline JAMBAUD,5.0
13465,Julien CASALS,Benjamin  PRADEL,2.0
13466,Julien CASALS,Boris CHABANEL,1.0
13468,Julien CASALS,Emile HOOGE,1.0
13469,Julien CASALS,Cédric POLÈRE,6.0
13470,Julien CASALS,Ludovic VIÉVARD,7.0
13471,Julien CASALS,Eve DENJEAN,4.0
13485,Julien CASALS,Nicolas LEPRÊTRE,5.0
13487,Julien CASALS,Sylvie  MAURIS-DEMOURIOUX,5.0
13493,Julien CASALS,Geoffroy BING,1.0
13513,Julien CASALS,Jean-Loup MOLIN,5.0
13524,Julien CASALS,Margot BALDASSI,5.0
13526,Julien CASALS,Matthieu BOURY,3.0
13527,Julien CASALS,Gaspard LANDEL,1.0
13528,Julien CASALS,Quentin ZARAGORI,9.0
13642,Julien CASALS,Julie GAYRAL,4.0
13646,Julien CASALS,Camille DUTHY,2.0
13821,Julien CASALS,Clara PERRIN,2.0
13831,Julien CASALS,Kim SAKHO,5.0
14030,Emmanuelle LAMBREY,Cédric POLÈRE,3.0
15148,David CHEVALLIER,Benjamin  PRADEL,5.0
15168,David CHEVALLIER,Nicolas LEPRÊTRE,5.0
15196,David CHEVALLIER,Jean-Loup MOLIN,5.0
15206,David CHEVALLIER,Isabelle BARAUD-SERFATY,5.0
15207,David CHEVALLIER,Margot BALDASSI,5.0
15208,David CHEVALLIER,Philippe GARGOV,5.0
16271,Geoffroy BING,Boris CHABANEL,1.0
16273,Geoffroy BING,Emile HOOGE,3.0
16278,Geoffroy BING,Aurélien BOUTAUD,1.0
16280,Geoffroy BING,Nicolas NOVA,1.0
16293,Geoffroy BING,Julien CASALS,1.0
16300,Geoffroy BING,François MAYSSAL,3.0
16332,Geoffroy BING,Gaspard LANDEL,2.0
16333,Geoffroy BING,Quentin ZARAGORI,1.0
16358,Geoffroy BING,Sophie KELLER,12.0
16365,Geoffroy BING,Clément JOURDAN,3.0
16422,Geoffroy BING,Brigitte YVRAY-DANGUIS,1.0
16841,Lionel GASTINE,Nicolas NOVA,3.0
16861,Lionel GASTINE,François MAYSSAL,3.0
16885,Lionel GASTINE,Lucas PIESSAT,3.0
16886,Lionel GASTINE,Gauthier BRAVAIS,3.0
17397,François MAYSSAL,Ludovic VIÉVARD,25.0
17402,François MAYSSAL,Nicolas NOVA,3.0
17420,François MAYSSAL,Geoffroy BING,3.0
17421,François MAYSSAL,Lionel GASTINE,3.0
17433,François MAYSSAL,Yoan OLLIVIER,25.0
17480,François MAYSSAL,Sophie KELLER,3.0
17487,François MAYSSAL,Clément JOURDAN,3.0
18518,Catherine FORET,Cédric POLÈRE,3.0
18519,Catherine FORET,Ludovic VIÉVARD,22.0
18532,Catherine FORET,Marianne CHOUTEAU,17.0
18536,Catherine FORET,Sylvie  MAURIS-DEMOURIOUX,17.0
18573,Catherine FORET,Margot BALDASSI,3.0
18574,Catherine FORET,Philippe GARGOV,3.0
18579,Catherine FORET,Pierre-Alain FOUR,17.0
18582,Catherine FORET,Valérie DEFOY,17.0
18651,Catherine FORET,Stéphane AUTRAN,1.0
18767,Catherine FORET,Yoann PUPAT,5.0
19016,Catherine FORET,Pascal BAVOUX,1.0
20040,Valérie PUGIN,Mélissa POUPELLOZ,2.0
23568,Yoan OLLIVIER,Ludovic VIÉVARD,25.0
23593,Yoan OLLIVIER,François MAYSSAL,25.0
23864,Yoan OLLIVIER,Romain BEAUCHER,2.0
24132,Arthur GRIMONPONT,Aurélien BOUTAUD,13.0
24686,Sebastian ROCHE,Boris CHABANEL,7.0
24689,Sebastian ROCHE,Cédric POLÈRE,10.0
24690,Sebastian ROCHE,Ludovic VIÉVARD,3.0
24693,Sebastian ROCHE,Aurélien BOUTAUD,10.0
24750,Sebastian ROCHE,Pierre-Alain FOUR,3.0
24786,Sebastian ROCHE,Marie Clémence LE PAPE,2.0
24787,Sebastian ROCHE,Maël DIEUDONNÉ,2.0
25254,Manon LOISEL,Aurélien BOUTAUD,27.0
25291,Manon LOISEL,Hélène DELHAY,27.0
25295,Manon LOISEL,Nicolas RIO,5.0
25815,Hélène DELHAY,Aurélien BOUTAUD,27.0
25851,Hélène DELHAY,Manon LOISEL,27.0
26415,Nicolas JOURNO,Claire MARQUET,6.0
26975,Claire MARQUET,Nicolas JOURNO,6.0
27489,Jean-Loup MOLIN,Anne-Caroline JAMBAUD,5.0
27490,Jean-Loup MOLIN,Benjamin  PRADEL,5.0
27493,Jean-Loup MOLIN,Emile HOOGE,2.0
27494,Jean-Loup MOLIN,Cédric POLÈRE,5.0
27495,Jean-Loup MOLIN,Ludovic VIÉVARD,5.0
27506,Jean-Loup MOLIN,Catherine PANASSIER,1.0
27510,Jean-Loup MOLIN,Nicolas LEPRÊTRE,13.0
27512,Jean-Loup MOLIN,Sylvie  MAURIS-DEMOURIOUX,5.0
27513,Jean-Loup MOLIN,Julien CASALS,5.0
27516,Jean-Loup MOLIN,David CHEVALLIER,5.0
27548,Jean-Loup MOLIN,Isabelle BARAUD-SERFATY,5.0
27549,Jean-Loup MOLIN,Margot BALDASSI,10.0
27550,Jean-Loup MOLIN,Philippe GARGOV,5.0
27553,Jean-Loup MOLIN,Quentin ZARAGORI,5.0
27714,Jean-Loup MOLIN,Pierre HOUSSAIS,3.0
27856,Jean-Loup MOLIN,Kim SAKHO,5.0
28095,Nicolas RIO,Manon LOISEL,5.0
28622,Fabien GIRARDIN,Nicolas NOVA,7.0
28672,Fabien GIRARDIN,Philippe GARGOV,2.0
29754,Eddy MAAROUFI,Nicolas LEPRÊTRE,5.0
29790,Eddy MAAROUFI,Quentin VERNETTE,6.0
29866,Eddy MAAROUFI,Caroline RICHEMONT,6.0
30001,Eddy MAAROUFI,Corinne HOOGE,5.0
30277,Eddy MAAROUFI,Magdalena NIN-OTT,1.0
30278,Eddy MAAROUFI,Antoine LIGIER,1.0
30300,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Ludovic VIÉVARD,5.0
30312,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Caroline JANUEL,5.0
30349,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Lucas PIESSAT,5.0
30350,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Gauthier BRAVAIS,5.0
30861,Lucas PIESSAT,Ludovic VIÉVARD,6.0
30873,Lucas PIESSAT,Caroline JANUEL,6.0
30885,Lucas PIESSAT,Lionel GASTINE,3.0
30909,Lucas PIESSAT,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,5.0
30911,Lucas PIESSAT,Gauthier BRAVAIS,18.0
31131,Lucas PIESSAT,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
31422,Gauthier BRAVAIS,Ludovic VIÉVARD,6.0
31434,Gauthier BRAVAIS,Caroline JANUEL,6.0
31446,Gauthier BRAVAIS,Lionel GASTINE,3.0
31470,Gauthier BRAVAIS,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,5.0
31471,Gauthier BRAVAIS,Lucas PIESSAT,18.0
31692,Gauthier BRAVAIS,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
32030,Quentin VERNETTE,Eddy MAAROUFI,6.0
32111,Quentin VERNETTE,Léa PEYRON,4.0
32542,Caroline HAMON,Emile HOOGE,5.0
32545,Caroline HAMON,Eve DENJEAN,5.0
32556,Caroline HAMON,Caroline JANUEL,29.0
33100,Isabelle BARAUD-SERFATY,Benjamin  PRADEL,5.0
33120,Isabelle BARAUD-SERFATY,Nicolas LEPRÊTRE,5.0
